sequence,work_package_id,requirement_id,title,classification,priority,complexity,gate,depends_on,primary_operation_ids,contributing_operation_ids,semantic_event_types,producer_event_types,gate_required_test_ids,deferred_test_ids,e2e_ids,slice_count,maximum_slice_points,status
11,WP-DEMO-DATA-002,DEMO-DATA-002,Reset determinístico,DEMO-MUST,P0,L,G1_FOUNDATION,WP-DEMO-AUDIT-001; WP-DEMO-DATA-001; WP-DEMO-IAM-004,getDemoReset; resetDemoScenario,,DemoResetRequested,DemoResetRequested,TST-API-GET-DEMO-RESET-001; TST-API-RESET-DEMO-SCENARIO-001; TST-AUDIT-003; TST-DATA-RESET-001; TST-DATA-RESET-002; TST-DATA-RESET-003; TST-DATA-RESET-005; TST-DEMO-RESET-001,TST-API-POLICY-001; TST-API-POLICY-009; TST-DATA-RESET-004; TST-EVT-CONTRACT-011,E2E-DEMO-000,5,3,READY_FOR_IMPLEMENTATION
12,WP-DEMO-EVT-001,DEMO-EVT-001,Extensão da persistência transacional de domínio,TECHNICAL-SUPPORT,P1,XL,G2_DOMAIN,WP-DEMO-AUDIT-001; WP-DEMO-DATA-001; WP-DEMO-DATA-002; WP-DEMO-IAM-003,,advanceDemoClock; assignTask; cancelTask; closeVehicleStop; completeService; completeTask; confirmArrival; confirmConversationCaseLink; confirmDepartureExternal; correctArrival; createTask; issueDriverAccess; issueSupplierAccess; prepareStopForArrival; receiveDemoEmail; recordPhoneCall; releaseVehicle; reportArrivalInternal; resetDemoScenario; resolveCase; startCaseWork; startService; startTask; updateForecastExternal; waitCaseForSupplier; waitTaskForSupplier,,,TST-DATA-EVT-001; TST-DATA-EVT-002; TST-DATA-EVT-003; TST-DATA-EVT-005; TST-EVT-CONTRACT-001; TST-EVT-CONTRACT-002; TST-EVT-CONTRACT-003; TST-EVT-CONTRACT-004; TST-EVT-CONTRACT-005; TST-EVT-CONTRACT-006; TST-EVT-CONTRACT-007; TST-EVT-CONTRACT-010; TST-EVT-CONTRACT-012; TST-SM-CROSS-018,TST-API-POLICY-003; TST-API-POLICY-004; TST-API-POLICY-005; TST-API-POLICY-006; TST-AUTH-EXT-010; TST-AUTH-EXT-011; TST-DATA-EVT-006; TST-DATA-EXT-005,,3,3,BLOCKED_BY_PREVIOUS_GATE
13,WP-DEMO-CASE-001,DEMO-CASE-001,Iniciar trabalho no caso,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-EVT-001; WP-DEMO-IAM-003,startCaseWork,,CaseWorkStarted,CaseWorkStarted,TST-API-START-CASE-WORK-001; TST-DATA-CASE-001; TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-004,TST-SM-CASE-003,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
14,WP-DEMO-EVT-002,DEMO-EVT-002,Consumo idempotente,TECHNICAL-SUPPORT,P1,XL,G2_DOMAIN,WP-DEMO-DATA-002; WP-DEMO-EVT-001,,,,,TST-DATA-DLQ-001; TST-DATA-EVT-004; TST-DATA-RESET-004; TST-EVT-CONTRACT-008; TST-EVT-CONTRACT-011,TST-DATA-ALERT-003; TST-DATA-INBOX-001; TST-EVT-CONTRACT-009,,3,3,BLOCKED_BY_PREVIOUS_GATE
15,WP-DEMO-STOP-002,DEMO-STOP-002,Preparar chegada,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-CASE-001; WP-DEMO-EVT-001,prepareStopForArrival,,StopPreparedForArrival,StopPreparedForArrival,TST-API-PREPARE-STOP-FOR-ARRIVAL-001,TST-DATA-STOP-002; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
16,WP-DEMO-TASK-001,DEMO-TASK-001,Criar tarefa,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-CASE-001; WP-DEMO-EVT-001,createTask,,TaskCreated,TaskCreated,TST-API-CREATE-TASK-001; TST-DATA-TASK-001; TST-DATA-TASK-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-API-POLICY-001; TST-SM-TASK-005,E2E-DEMO-000; E2E-DEMO-004,5,3,BLOCKED_BY_PREVIOUS_GATE
17,WP-DEMO-CLOCK-001,DEMO-CLOCK-001,Avançar relógio,DEMO-MUST,P0,M,G4_TIME_COMMUNICATION,WP-DEMO-DATA-002; WP-DEMO-EVT-002; WP-DEMO-IAM-004,advanceDemoClock,,DemoClockAdvanced,DemoClockAdvanced,TST-API-ADVANCE-DEMO-CLOCK-001,TST-API-POLICY-001,E2E-DEMO-000; E2E-DEMO-001,5,3,BLOCKED_BY_PREVIOUS_GATE
18,WP-DEMO-COM-001,DEMO-COM-001,Receber e-mail fictício,DEMO-MUST,P0,L,G4_TIME_COMMUNICATION,WP-DEMO-ENV-003; WP-DEMO-EVT-002; WP-DEMO-IAM-003,receiveDemoEmail,,InboundCommunicationReceived,InboundCommunicationReceived,TST-API-RECEIVE-DEMO-EMAIL-001; TST-AUTH-ADAPTER-001; TST-AUTH-ADAPTER-002; TST-AUTH-ADAPTER-003; TST-AUTH-ADAPTER-004; TST-DATA-INBOX-001,TST-API-POLICY-001,E2E-DEMO-003,5,3,BLOCKED_BY_PREVIOUS_GATE
19,WP-DEMO-METRIC-004,DEMO-METRIC-004,Contagem de contatos telefônicos,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-CASE-001; WP-DEMO-EVT-002,,getDemoMetrics,,PhoneCallRecorded,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,,E2E-DEMO-000,3,2,BLOCKED_BY_PREVIOUS_GATE
20,WP-DEMO-COM-004,DEMO-COM-004,Registrar ligação,DEMO-MUST,P0,M,G4_TIME_COMMUNICATION,WP-DEMO-CASE-001; WP-DEMO-EVT-001; WP-DEMO-IAM-003; WP-DEMO-STOP-002,recordPhoneCall,,PhoneCallRecorded,PhoneCallRecorded,TST-API-RECORD-PHONE-CALL-001; TST-DATA-EVT-006,TST-API-POLICY-001,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
21,WP-DEMO-METRIC-001,DEMO-METRIC-001,Contagem de paradas ativas,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-EVT-002; WP-DEMO-STOP-002,getDemoMetrics,,,VehicleStopClosed,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
22,WP-DEMO-SEARCH-001,DEMO-SEARCH-001,Busca por placa,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-DATA-001; WP-DEMO-EVT-002; WP-DEMO-STOP-002,searchOperationalResources,,,,TST-API-SEARCH-OPERATIONAL-RESOURCES-001,,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
23,WP-DEMO-STOP-003,DEMO-STOP-003,Registrar relato de chegada,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-STOP-002,reportArrivalInternal,,ArrivalReported,ArrivalReported,TST-API-REPORT-ARRIVAL-INTERNAL-001; TST-DATA-EVT-005; TST-SM-ARRIVAL-001; TST-SM-ARRIVAL-002; TST-SM-ARRIVAL-003; TST-SM-ARRIVAL-004,TST-API-POLICY-001; TST-SM-ARRIVAL-005; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-002,5,3,BLOCKED_BY_PREVIOUS_GATE
24,WP-DEMO-TIMELINE-001,DEMO-TIMELINE-001,Timeline de caso e parada,DEMO-MUST,P0,L,G3_PROJECTIONS,WP-DEMO-CASE-001; WP-DEMO-EVT-002; WP-DEMO-STOP-002,getCaseTimeline; getStopTimeline,,,,TST-API-GET-CASE-TIMELINE-001; TST-API-GET-STOP-TIMELINE-001,,E2E-DEMO-000; E2E-DEMO-002; E2E-DEMO-003,5,3,BLOCKED_BY_PREVIOUS_GATE
25,WP-DEMO-CASE-002,DEMO-CASE-002,Consultar visão operacional,DEMO-MUST,P0,L,G3_PROJECTIONS,WP-DEMO-CASE-001; WP-DEMO-EVT-002; WP-DEMO-STOP-002; WP-DEMO-TASK-001,getCaseOperationalView; listCaseConversations; listCaseTasks,getCaseTimeline,,,TST-API-GET-CASE-OPERATIONAL-VIEW-001; TST-API-GET-CASE-TIMELINE-001; TST-API-LIST-CASE-CONVERSATIONS-001; TST-API-LIST-CASE-TASKS-001; TST-DATA-CASE-003,,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
26,WP-DEMO-METRIC-003,DEMO-METRIC-003,Contagem de tarefas abertas,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-EVT-002; WP-DEMO-TASK-001,,getDemoMetrics,,TaskCancelled; TaskCompleted; TaskCreated,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,,E2E-DEMO-000; E2E-DEMO-004,3,2,BLOCKED_BY_PREVIOUS_GATE
27,WP-DEMO-STOP-001,DEMO-STOP-001,Consultar visão operacional,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-EVT-002; WP-DEMO-STOP-002; WP-DEMO-TASK-001,getStopOperationalView,getStopTimeline,,,TST-API-GET-STOP-OPERATIONAL-VIEW-001; TST-API-GET-STOP-TIMELINE-001; TST-DATA-CASE-003; TST-DATA-STOP-001; TST-SM-CROSS-010,,E2E-DEMO-000,4,3,BLOCKED_BY_PREVIOUS_GATE
28,WP-DEMO-TASK-002,DEMO-TASK-002,Atribuir tarefa,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-TASK-001,assignTask,,TaskAssigned,TaskAssigned,TST-API-ASSIGN-TASK-001; TST-DATA-TASK-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-API-POLICY-001; TST-SM-TASK-005,E2E-DEMO-000; E2E-DEMO-004,5,3,BLOCKED_BY_PREVIOUS_GATE
29,WP-DEMO-TASK-007,DEMO-TASK-007,Cancelar tarefa,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-AUDIT-001; WP-DEMO-IAM-003; WP-DEMO-TASK-001,cancelTask,,TaskCancelled,TaskCancelled,TST-API-CANCEL-TASK-001; TST-DATA-TASK-001; TST-DATA-TASK-003; TST-DATA-TASK-004; TST-SM-CROSS-002; TST-SM-CROSS-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-API-POLICY-001; TST-SM-CROSS-017; TST-SM-TASK-005,,5,3,BLOCKED_BY_PREVIOUS_GATE
30,WP-DEMO-COM-002,DEMO-COM-002,Sugerir vínculo,DEMO-MUST,P0,M,G4_TIME_COMMUNICATION,WP-DEMO-CASE-001; WP-DEMO-COM-001; WP-DEMO-EVT-002,,,ConversationCaseLinkSuggested,ConversationCaseLinkSuggested,TST-AUTH-ADAPTER-001,,E2E-DEMO-003,4,3,BLOCKED_BY_PREVIOUS_GATE
31,WP-DEMO-SEARCH-002,DEMO-SEARCH-002,Busca por número público,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-CASE-001; WP-DEMO-SEARCH-001,,searchOperationalResources,,,TST-API-SEARCH-OPERATIONAL-RESOURCES-001,,E2E-DEMO-000,3,2,BLOCKED_BY_PREVIOUS_GATE
32,WP-DEMO-STOP-004,DEMO-STOP-004,Detectar conflito de chegada,DEMO-MUST,P0,L,G2_DOMAIN,WP-DEMO-EVT-002; WP-DEMO-STOP-003; WP-DEMO-TASK-001,,,ArrivalConflictDetected,AlertCreated; ArrivalConflictDetected; TaskCreated,TST-EVT-CONTRACT-001; TST-EVT-CONTRACT-008; TST-SM-ARRIVAL-001; TST-SM-ARRIVAL-002; TST-SM-ARRIVAL-003; TST-SM-ARRIVAL-004; TST-SM-CROSS-003; TST-SM-CROSS-006,TST-SM-ARRIVAL-005,E2E-DEMO-002,4,3,BLOCKED_BY_PREVIOUS_GATE
33,WP-DEMO-DASH-001,DEMO-DASH-001,Lista de paradas ativas,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-EVT-002; WP-DEMO-STOP-001,listStopDashboard,,,,TST-API-LIST-STOP-DASHBOARD-001,,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
34,WP-DEMO-TASK-003,DEMO-TASK-003,Iniciar tarefa,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-TASK-002,startTask,,TaskStarted,TaskStarted,TST-API-START-TASK-001; TST-DATA-TASK-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-SM-TASK-005,E2E-DEMO-000; E2E-DEMO-004,5,3,BLOCKED_BY_PREVIOUS_GATE
35,WP-DEMO-COM-003,DEMO-COM-003,Confirmar vínculo,DEMO-MUST,P0,M,G4_TIME_COMMUNICATION,WP-DEMO-AUDIT-001; WP-DEMO-COM-002; WP-DEMO-IAM-003,confirmConversationCaseLink,,CommunicationLinked,CommunicationLinked,TST-API-CONFIRM-CONVERSATION-CASE-LINK-001,TST-API-POLICY-001,E2E-DEMO-003,5,3,BLOCKED_BY_PREVIOUS_GATE
36,WP-DEMO-METRIC-002,DEMO-METRIC-002,Contagem de paradas sem atualização,DEMO-MUST,P0,M,G3_PROJECTIONS,WP-DEMO-EVT-002; WP-DEMO-STOP-004,,getDemoMetrics,,AlertCreated; AlertResolved,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,,E2E-DEMO-000; E2E-DEMO-001,3,2,BLOCKED_BY_PREVIOUS_GATE
37,WP-DEMO-STOP-005,DEMO-STOP-005,Confirmar chegada,DEMO-MUST,P0,L,G2_DOMAIN,WP-DEMO-STOP-004,confirmArrival,,ArrivalConfirmed,AlertResolved; ArrivalConfirmed; TaskCompleted,TST-API-CONFIRM-ARRIVAL-001; TST-EVT-CONTRACT-008; TST-SM-ARRIVAL-001; TST-SM-ARRIVAL-002; TST-SM-ARRIVAL-003; TST-SM-ARRIVAL-004; TST-SM-CROSS-003; TST-SM-CROSS-006,TST-API-POLICY-001; TST-DATA-ARRIVAL-001; TST-DATA-STOP-002; TST-SM-ARRIVAL-005; TST-SM-CROSS-009; TST-SM-CROSS-012; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-002,5,3,BLOCKED_BY_PREVIOUS_GATE
38,WP-DEMO-DASH-002,DEMO-DASH-002,Filtros do painel,DEMO-MUST,P0,S,G3_PROJECTIONS,WP-DEMO-DASH-001,,listStopDashboard,,,TST-API-LIST-STOP-DASHBOARD-001,,E2E-DEMO-000,3,2,BLOCKED_BY_PREVIOUS_GATE
39,WP-DEMO-TASK-006,DEMO-TASK-006,Concluir tarefa,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-TASK-003,completeTask,,TaskCompleted,TaskCompleted,TST-API-COMPLETE-TASK-001; TST-DATA-TASK-001; TST-DATA-TASK-002; TST-DATA-TASK-005; TST-SM-CROSS-002; TST-SM-CROSS-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-API-POLICY-001; TST-SM-CROSS-017; TST-SM-TASK-005,E2E-DEMO-000; E2E-DEMO-004,5,3,BLOCKED_BY_PREVIOUS_GATE
40,WP-DEMO-STOP-006,DEMO-STOP-006,Iniciar serviço,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-STOP-005,startService,,ServiceStarted,ServiceStarted,TST-API-START-SERVICE-001,TST-API-POLICY-001; TST-DATA-STOP-002; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
41,WP-DEMO-TIMELINE-002,DEMO-TIMELINE-002,Preservar correções,TECHNICAL-SUPPORT,P1,M,G3_PROJECTIONS,WP-DEMO-STOP-005; WP-DEMO-TIMELINE-001,correctArrival,,ArrivalCorrected,ArrivalConfirmed; ArrivalCorrected; ArrivalReported,TST-API-CORRECT-ARRIVAL-001; TST-DATA-ARRIVAL-001; TST-EVT-CONTRACT-009; TST-SM-ARRIVAL-005; TST-SM-CROSS-012,TST-API-POLICY-001,E2E-DEMO-002,5,3,BLOCKED_BY_PREVIOUS_GATE
42,WP-DEMO-STOP-010,DEMO-STOP-010,Fechar parada,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-AUDIT-001; WP-DEMO-EVT-001; WP-DEMO-STOP-005; WP-DEMO-TASK-006,closeVehicleStop,,VehicleStopClosed,ExternalAccessTokenRevoked; VehicleStopClosed,TST-API-CLOSE-VEHICLE-STOP-001; TST-DATA-STOP-006; TST-SM-CROSS-001; TST-SM-CROSS-005; TST-SM-CROSS-006,TST-API-POLICY-001; TST-DATA-STOP-002; TST-SM-CROSS-004; TST-SM-CROSS-017; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,5,3,BLOCKED_BY_PREVIOUS_GATE
43,WP-DEMO-TASK-008,DEMO-TASK-008,Executar tarefas em paralelo,DEMO-MUST,P0,L,G2_DOMAIN,WP-DEMO-TASK-001; WP-DEMO-TASK-002; WP-DEMO-TASK-003; WP-DEMO-TASK-006,,assignTask; completeTask; createTask; startTask,,TaskAssigned; TaskCompleted; TaskCreated; TaskStarted,TST-API-ASSIGN-TASK-001; TST-API-COMPLETE-TASK-001; TST-API-CREATE-TASK-001; TST-API-START-TASK-001; TST-SM-CROSS-016,TST-API-POLICY-001,E2E-DEMO-000; E2E-DEMO-004,3,3,BLOCKED_BY_PREVIOUS_GATE
44,WP-DEMO-ALERT-001,DEMO-ALERT-001,Criar alerta de inatividade,DEMO-MUST,P0,M,G4_TIME_COMMUNICATION,WP-DEMO-CLOCK-001; WP-DEMO-EVT-002; WP-DEMO-STOP-006,,,AlertCreated,AlertCreated,TST-DATA-ALERT-001; TST-SM-ALERT-001; TST-SM-ALERT-002; TST-SM-ALERT-003; TST-SM-CROSS-013,,E2E-DEMO-000; E2E-DEMO-001,4,3,BLOCKED_BY_PREVIOUS_GATE
45,WP-DEMO-EXT-001,DEMO-EXT-001,Emitir acesso de fornecedor,DEMO-MUST,P0,L,G5_EXTERNAL,WP-DEMO-AUDIT-001; WP-DEMO-EVT-001; WP-DEMO-IAM-003; WP-DEMO-STOP-006,issueSupplierAccess,,ExternalAccessTokenIssued; ExternalAccessTokenRevoked,ExternalAccessTokenIssued,TST-API-ISSUE-SUPPLIER-ACCESS-001; TST-API-POLICY-010; TST-AUTH-EXT-001; TST-AUTH-EXT-002; TST-AUTH-EXT-009; TST-AUTH-EXT-012; TST-DATA-EXT-001; TST-DATA-EXT-002; TST-DATA-EXT-006,,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
46,WP-DEMO-STOP-007,DEMO-STOP-007,Concluir serviço,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-STOP-006,completeService,,ServiceCompleted,ServiceCompleted,TST-API-COMPLETE-SERVICE-001; TST-DATA-STOP-004; TST-SM-CROSS-008,TST-API-POLICY-001; TST-DATA-STOP-002; TST-DATA-STOP-003; TST-SM-CROSS-007; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-005,5,3,BLOCKED_BY_PREVIOUS_GATE
47,WP-DEMO-TASK-004,DEMO-TASK-004,Aguardar terceiro,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-STOP-006; WP-DEMO-TASK-003,waitTaskForSupplier,,TaskWaitingForSupplier,TaskWaitingForSupplier,TST-API-WAIT-TASK-FOR-SUPPLIER-001; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-006; TST-SM-TASK-007,TST-API-POLICY-001; TST-SM-TASK-005,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
48,WP-DEMO-CASE-005,DEMO-CASE-005,Resolver caso,DEMO-MUST,P0,M,G2_DOMAIN,WP-DEMO-CASE-001; WP-DEMO-STOP-010; WP-DEMO-TASK-006,resolveCase,,CaseResolved,CaseResolved,TST-API-RESOLVE-CASE-001; TST-DATA-CASE-001; TST-DATA-CASE-002; TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-004; TST-SM-CROSS-001; TST-SM-CROSS-002; TST-SM-CROSS-003,TST-API-POLICY-001; TST-SM-CASE-003; TST-SM-CROSS-017,E2E-DEMO-000,5,3,BLOCKED_BY_PREVIOUS_GATE
49,WP-DEMO-ALERT-002,DEMO-ALERT-002,Deduplicar alerta,TECHNICAL-SUPPORT,P1,M,G4_TIME_COMMUNICATION,WP-DEMO-ALERT-001,,,AlertOccurrenceAdded,AlertOccurrenceAdded,TST-DATA-ALERT-001; TST-DATA-ALERT-003; TST-SM-ALERT-001; TST-SM-ALERT-002; TST-SM-ALERT-003; TST-SM-CROSS-013,,E2E-DEMO-001,4,3,BLOCKED_BY_PREVIOUS_GATE
