requirement_id,title,classification,work_package_id,gate,actors,ui_ids,commands,operation_ids,operation_sets,permissions_or_capabilities,tables,events,event_sets,test_ids,e2e_ids,status
DEMO-SEARCH-001,Busca por placa,DEMO-MUST,WP-DEMO-SEARCH-001,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-SEARCH,,searchOperationalResources,,search.read,search_document; vehicle_registration,,,TST-API-SEARCH-OPERATIONAL-RESOURCES-001,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-SEARCH-002,Busca por número público,DEMO-MUST,WP-DEMO-SEARCH-002,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-SEARCH,,searchOperationalResources,,search.read,search_document; case_record; vehicle_stop,,,TST-API-SEARCH-OPERATIONAL-RESOURCES-001,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-DASH-001,Lista de paradas ativas,DEMO-MUST,WP-DEMO-DASH-001,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-DASHBOARD,,listStopDashboard,,dashboard.stop.read,stop_operational_projection,,SET-EVT-PROJECTIONS-V2,TST-API-LIST-STOP-DASHBOARD-001,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-DASH-002,Filtros do painel,DEMO-MUST,WP-DEMO-DASH-002,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-DASHBOARD,,listStopDashboard,,dashboard.stop.read,stop_operational_projection,,,TST-API-LIST-STOP-DASHBOARD-001,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-METRIC-001,Contagem de paradas ativas,DEMO-MUST,WP-DEMO-METRIC-001,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-DASHBOARD,,getDemoMetrics,,metrics.demo.read,demo_metric_projection; vehicle_stop,VehicleStopClosed,,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-METRIC-002,Contagem de paradas sem atualização,DEMO-MUST,WP-DEMO-METRIC-002,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-DASHBOARD,,getDemoMetrics,,metrics.demo.read,demo_metric_projection; alert,AlertCreated; AlertResolved,,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,E2E-DEMO-000; E2E-DEMO-001,COMPLETE_V2.1.3
DEMO-METRIC-003,Contagem de tarefas abertas,DEMO-MUST,WP-DEMO-METRIC-003,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-DASHBOARD,,getDemoMetrics,,metrics.demo.read,demo_metric_projection; task,TaskCreated; TaskCompleted; TaskCancelled,,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,E2E-DEMO-000; E2E-DEMO-004,COMPLETE_V2.1.3
DEMO-METRIC-004,Contagem de contatos telefônicos,DEMO-MUST,WP-DEMO-METRIC-004,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-DASHBOARD,,getDemoMetrics,,metrics.demo.read,demo_metric_projection; phone_call,PhoneCallRecorded,,TST-API-GET-DEMO-METRICS-001; TST-DATA-METRIC-001,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-CASE-001,Iniciar trabalho no caso,DEMO-MUST,WP-DEMO-CASE-001,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-CASE,StartCaseWork,startCaseWork,,case.start_work,case_record; case_state_history,CaseWorkStarted,,TST-API-START-CASE-WORK-001; TST-DATA-CASE-001; TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-003; TST-SM-CASE-004,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-CASE-002,Consultar visão operacional,DEMO-MUST,WP-DEMO-CASE-002,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-CASE; UI-DEMO-TASKS; UI-DEMO-COMMUNICATION; UI-DEMO-TIMELINE,,getCaseOperationalView; getCaseTimeline; listCaseTasks; listCaseConversations,,case.read; task.read; communication.read; timeline.read,case_operational_projection; timeline_entry; contextual_rule_seed; stop_budget_context_seed,,,TST-API-GET-CASE-OPERATIONAL-VIEW-001; TST-API-GET-CASE-TIMELINE-001; TST-API-LIST-CASE-CONVERSATIONS-001; TST-API-LIST-CASE-TASKS-001; TST-DATA-CASE-003,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-CASE-003,Aguardar fornecedor,DEMO-MUST,WP-DEMO-CASE-003,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-CASE,WaitCaseForSupplier,waitCaseForSupplier,,case.wait_for_supplier,case_record; case_state_history,CaseWaitingForSupplier,,TST-API-POLICY-001; TST-API-WAIT-CASE-FOR-SUPPLIER-001; TST-DATA-CASE-001; TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-003; TST-SM-CASE-004,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-CASE-004,Retomar após atualização,DEMO-MUST,WP-DEMO-CASE-004,G2_DOMAIN,SYSTEM,UI-DEMO-CASE,ResumeCaseAfterSupplierUpdate,,,internal system policy,case_record; case_state_history; consumer_receipt,CaseResumedAfterSupplierUpdate,,TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-003; TST-SM-CASE-004,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-CASE-005,Resolver caso,DEMO-MUST,WP-DEMO-CASE-005,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-CASE,ResolveCase,resolveCase,,case.resolve,case_record; case_state_history,CaseResolved,,TST-API-POLICY-001; TST-API-RESOLVE-CASE-001; TST-DATA-CASE-001; TST-DATA-CASE-002; TST-SM-CASE-001; TST-SM-CASE-002; TST-SM-CASE-003; TST-SM-CASE-004; TST-SM-CROSS-001; TST-SM-CROSS-002; TST-SM-CROSS-003; TST-SM-CROSS-017,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-TASK-001,Criar tarefa,DEMO-MUST,WP-DEMO-TASK-001,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-TASKS,CreateTask,createTask,,task.create,task; task_state_history,TaskCreated,,TST-API-CREATE-TASK-001; TST-API-POLICY-001; TST-DATA-TASK-001; TST-DATA-TASK-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,E2E-DEMO-000; E2E-DEMO-004,COMPLETE_V2.1.3
DEMO-TASK-002,Atribuir tarefa,DEMO-MUST,WP-DEMO-TASK-002,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-TASKS,AssignTask,assignTask,,task.assign,task; task_state_history,TaskAssigned,,TST-API-ASSIGN-TASK-001; TST-API-POLICY-001; TST-DATA-TASK-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,E2E-DEMO-000; E2E-DEMO-004,COMPLETE_V2.1.3
DEMO-TASK-003,Iniciar tarefa,DEMO-MUST,WP-DEMO-TASK-003,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-TASKS,StartTask,startTask,,task.start,task; task_state_history,TaskStarted,,TST-API-START-TASK-001; TST-DATA-TASK-005; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,E2E-DEMO-000; E2E-DEMO-004,COMPLETE_V2.1.3
DEMO-TASK-004,Aguardar terceiro,DEMO-MUST,WP-DEMO-TASK-004,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-TASKS,WaitTaskForSupplier,waitTaskForSupplier,,task.wait_for_supplier,task; task_state_history,TaskWaitingForSupplier,,TST-API-POLICY-001; TST-API-WAIT-TASK-FOR-SUPPLIER-001; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-TASK-005,Retomar tarefa,DEMO-MUST,WP-DEMO-TASK-005,G2_DOMAIN,SYSTEM,UI-DEMO-TASKS,ResumeTaskAfterSupplierUpdate,,,internal system policy,task; task_state_history; consumer_receipt,TaskResumedAfterSupplierUpdate,,TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-TASK-006,Concluir tarefa,DEMO-MUST,WP-DEMO-TASK-006,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-TASKS,CompleteTask,completeTask,,task.complete,task; task_state_history,TaskCompleted,,TST-API-COMPLETE-TASK-001; TST-API-POLICY-001; TST-DATA-TASK-001; TST-DATA-TASK-002; TST-DATA-TASK-005; TST-SM-CROSS-002; TST-SM-CROSS-005; TST-SM-CROSS-017; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,E2E-DEMO-000; E2E-DEMO-004,COMPLETE_V2.1.3
DEMO-TASK-007,Cancelar tarefa,DEMO-MUST,WP-DEMO-TASK-007,G2_DOMAIN,DEMO_SUPERVISOR,UI-DEMO-TASKS,CancelTask,cancelTask,,task.cancel,task; task_state_history; security_audit_record,TaskCancelled,,TST-API-CANCEL-TASK-001; TST-API-POLICY-001; TST-DATA-TASK-001; TST-DATA-TASK-003; TST-DATA-TASK-004; TST-SM-CROSS-002; TST-SM-CROSS-005; TST-SM-CROSS-017; TST-SM-TASK-001; TST-SM-TASK-002; TST-SM-TASK-003; TST-SM-TASK-004; TST-SM-TASK-005; TST-SM-TASK-006; TST-SM-TASK-007,,COMPLETE_V2.1.3
DEMO-TASK-008,Executar tarefas em paralelo,DEMO-MUST,WP-DEMO-TASK-008,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-TASKS,CreateTask; AssignTask; StartTask; CompleteTask,createTask; assignTask; startTask; completeTask,,task.create; task.assign; task.start; task.complete,task; task_state_history,TaskCreated; TaskAssigned; TaskStarted; TaskCompleted,,TST-API-ASSIGN-TASK-001; TST-API-COMPLETE-TASK-001; TST-API-CREATE-TASK-001; TST-API-POLICY-001; TST-API-START-TASK-001; TST-SM-CROSS-016,E2E-DEMO-000; E2E-DEMO-004,COMPLETE_V2.1.3
DEMO-STOP-001,Consultar visão operacional,DEMO-MUST,WP-DEMO-STOP-001,G3_PROJECTIONS,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER,UI-DEMO-STOP; UI-DEMO-TIMELINE,,getStopOperationalView; getStopTimeline,,stop.read; timeline.read,stop_operational_projection; timeline_entry; stop_budget_context_seed,,,TST-API-GET-STOP-OPERATIONAL-VIEW-001; TST-API-GET-STOP-TIMELINE-001; TST-DATA-CASE-003; TST-DATA-STOP-001; TST-SM-CROSS-010,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-STOP-002,Preparar chegada,DEMO-MUST,WP-DEMO-STOP-002,G2_DOMAIN,DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,PrepareStopForArrival,prepareStopForArrival,,stop.prepare_arrival,vehicle_stop; stop_state_history,StopPreparedForArrival,,TST-API-PREPARE-STOP-FOR-ARRIVAL-001; TST-DATA-STOP-002; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-STOP-003,Registrar relato de chegada,DEMO-MUST,WP-DEMO-STOP-003,G2_DOMAIN,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,ReportArrival,reportArrivalInternal,,stop.report_arrival,arrival_report; vehicle_stop,ArrivalReported,,TST-API-POLICY-001; TST-API-REPORT-ARRIVAL-INTERNAL-001; TST-DATA-EVT-005; TST-SM-ARRIVAL-001; TST-SM-ARRIVAL-002; TST-SM-ARRIVAL-003; TST-SM-ARRIVAL-004; TST-SM-ARRIVAL-005; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-002,COMPLETE_V2.1.3
DEMO-STOP-004,Detectar conflito de chegada,DEMO-MUST,WP-DEMO-STOP-004,G2_DOMAIN,SYSTEM,UI-DEMO-STOP,EvaluateArrivalReports; CreateArrivalConflictTask,,,internal system policy,arrival_report; arrival_conflict; task; alert,ArrivalConflictDetected; TaskCreated; AlertCreated,,TST-EVT-CONTRACT-001; TST-EVT-CONTRACT-008; TST-SM-ARRIVAL-001; TST-SM-ARRIVAL-002; TST-SM-ARRIVAL-003; TST-SM-ARRIVAL-004; TST-SM-ARRIVAL-005; TST-SM-CROSS-003; TST-SM-CROSS-006,E2E-DEMO-002,COMPLETE_V2.1.3
DEMO-STOP-005,Confirmar chegada,DEMO-MUST,WP-DEMO-STOP-005,G2_DOMAIN,DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; SYSTEM,UI-DEMO-STOP,ConfirmArrival; CompleteArrivalConflictTask,confirmArrival,,stop.confirm_arrival; stop.confirm_arrival_conflict; internal system policy,arrival_confirmation; arrival_confirmation_report; arrival_conflict; task; alert,ArrivalConfirmed; TaskCompleted; AlertResolved,,TST-API-CONFIRM-ARRIVAL-001; TST-API-POLICY-001; TST-DATA-ARRIVAL-001; TST-DATA-STOP-002; TST-EVT-CONTRACT-008; TST-SM-ARRIVAL-001; TST-SM-ARRIVAL-002; TST-SM-ARRIVAL-003; TST-SM-ARRIVAL-004; TST-SM-ARRIVAL-005; TST-SM-CROSS-003; TST-SM-CROSS-006; TST-SM-CROSS-009; TST-SM-CROSS-012; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-002,COMPLETE_V2.1.3
DEMO-STOP-006,Iniciar serviço,DEMO-MUST,WP-DEMO-STOP-006,G2_DOMAIN,DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,StartService,startService,,stop.start_service,vehicle_stop; stop_state_history,ServiceStarted,,TST-API-POLICY-001; TST-API-START-SERVICE-001; TST-DATA-STOP-002; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-EXT-001,Emitir acesso de fornecedor,DEMO-MUST,WP-DEMO-EXT-001,G5_EXTERNAL,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR,UI-DEMO-STOP,IssueSupplierAccess,issueSupplierAccess,,external_access.issue_supplier,external_action_token; external_action_capability,ExternalAccessTokenIssued,,TST-API-ISSUE-SUPPLIER-ACCESS-001; TST-API-POLICY-010; TST-AUTH-EXT-001; TST-AUTH-EXT-002; TST-AUTH-EXT-009; TST-AUTH-EXT-012; TST-DATA-EXT-001; TST-DATA-EXT-002; TST-DATA-EXT-006,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-EXT-002,Consultar contexto mínimo do fornecedor,DEMO-MUST,WP-DEMO-EXT-002,G5_EXTERNAL,EXTERNAL_SUPPLIER,UI-DEMO-SUPPLIER,,createExternalSession; getExternalContext,,VIEW_SUPPLIER_CONTEXT,external_session; external_action_token; external_action_capability,,,TST-API-CREATE-EXTERNAL-SESSION-001; TST-API-GET-EXTERNAL-CONTEXT-001; TST-API-POLICY-001; TST-API-POLICY-008; TST-API-POLICY-010; TST-AUTH-EXT-003; TST-AUTH-EXT-004; TST-AUTH-EXT-011; TST-AUTH-EXT-012; TST-AUTH-EXT-013; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-004,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-EXT-003,Atualizar previsão pelo fornecedor,DEMO-MUST,WP-DEMO-EXT-003,G5_EXTERNAL,EXTERNAL_SUPPLIER,UI-DEMO-SUPPLIER,UpdateCompletionForecast,updateForecastExternal,,UPDATE_COMPLETION_FORECAST,completion_forecast; external_token_usage; idempotency_record,CompletionForecastUpdated,,TST-API-POLICY-001; TST-API-POLICY-010; TST-API-UPDATE-FORECAST-EXTERNAL-001; TST-AUTH-EXT-005; TST-AUTH-EXT-007; TST-AUTH-EXT-008; TST-AUTH-EXT-010; TST-AUTH-EXT-015; TST-AUTH-EXT-016; TST-DATA-EXT-003; TST-DATA-EXT-005; TST-DATA-FORECAST-001; TST-SM-CROSS-011; TST-SM-CROSS-014; TST-SM-STOP-001; TST-SM-STOP-002; TST-SM-STOP-003; TST-SM-STOP-004; TST-SM-STOP-005; TST-SM-STOP-006; TST-SM-STOP-007; TST-SM-STOP-008; TST-SM-STOP-009; TST-SM-STOP-010; TST-SM-STOP-011,E2E-DEMO-000; E2E-DEMO-001,COMPLETE_V2.1.3
DEMO-CLOCK-001,Avançar relógio,DEMO-MUST,WP-DEMO-CLOCK-001,G4_TIME_COMMUNICATION,DEMO_ADMIN; SYSTEM,UI-DEMO-ADMIN,AdvanceDemoClock,advanceDemoClock,,demo.advance_clock,demo_clock; background_job,DemoClockAdvanced,,TST-API-ADVANCE-DEMO-CLOCK-001; TST-API-POLICY-001,E2E-DEMO-000; E2E-DEMO-001,COMPLETE_V2.1.3
DEMO-ALERT-001,Criar alerta de inatividade,DEMO-MUST,WP-DEMO-ALERT-001,G4_TIME_COMMUNICATION,SYSTEM,UI-DEMO-DASHBOARD; UI-DEMO-STOP,EvaluateStopInactivity,,,alert.evaluate_inactivity,alert; alert_occurrence; background_job,AlertCreated,,TST-DATA-ALERT-001; TST-SM-ALERT-001; TST-SM-ALERT-002; TST-SM-ALERT-003; TST-SM-CROSS-013,E2E-DEMO-000; E2E-DEMO-001,COMPLETE_V2.1.3
DEMO-ALERT-002,Deduplicar alerta,TECHNICAL-SUPPORT,WP-DEMO-ALERT-002,G4_TIME_COMMUNICATION,SYSTEM,UI-DEMO-DASHBOARD; UI-DEMO-STOP,EvaluateStopInactivity,,,alert.evaluate_inactivity,alert; alert_occurrence,AlertOccurrenceAdded,,TST-DATA-ALERT-001; TST-DATA-ALERT-003; TST-SM-ALERT-001; TST-SM-ALERT-002; TST-SM-ALERT-003; TST-SM-CROSS-013,E2E-DEMO-001,COMPLETE_V2.1.3
DEMO-ALERT-003,Resolver alerta por atualização,DEMO-MUST,WP-DEMO-ALERT-003,G4_TIME_COMMUNICATION,SYSTEM; EXTERNAL_SUPPLIER,UI-DEMO-DASHBOARD; UI-DEMO-STOP; UI-DEMO-SUPPLIER,ResolveStopNoUpdateAlert,,,alert.resolve_no_update,alert; alert_state_history; completion_forecast,CompletionForecastUpdated; AlertResolved,,TST-DATA-ALERT-002; TST-SM-ALERT-001; TST-SM-ALERT-002; TST-SM-ALERT-003; TST-SM-CROSS-017,E2E-DEMO-000; E2E-DEMO-001,COMPLETE_V2.1.3
DEMO-COM-001,Receber e-mail fictício,DEMO-MUST,WP-DEMO-COM-001,G4_TIME_COMMUNICATION,FAKE_EMAIL_ADAPTER; SYSTEM,UI-DEMO-COMMUNICATION,ReceiveInboundEmail,receiveDemoEmail,,integration.receive_demo_email,integration_inbox; conversation; communication,InboundCommunicationReceived,,TST-API-POLICY-001; TST-API-RECEIVE-DEMO-EMAIL-001; TST-AUTH-ADAPTER-001; TST-AUTH-ADAPTER-002; TST-AUTH-ADAPTER-003; TST-AUTH-ADAPTER-004; TST-DATA-INBOX-001,E2E-DEMO-003,COMPLETE_V2.1.3
